design,design_label,workload_operations,pipeline_stages,is_power_of_two,stages_with_work,pass_through_stages,min_operations_per_stage,max_operations_per_stage,pipeline_region,latency_cycles,throughput_items_per_cycle,target_mhz,target_period_ns,platform,synthesis_frontend,synthesis_hierarchical,abc_area,orfs_image,cell_count,area_um2,sequential_area_um2,combinational_area_um2,sequential_area_percent,setup_wns_ns,setup_tns_ns,setup_worst_startpoint,setup_worst_endpoint,setup_worst_path,target_met,minimum_period_ns,fmax_mhz,hold_slack_ns,sequential_power_internal_w,sequential_power_switching_w,sequential_power_leakage_w,sequential_power_total_w,combinational_power_internal_w,combinational_power_switching_w,combinational_power_leakage_w,combinational_power_total_w,clock_power_internal_w,clock_power_switching_w,clock_power_leakage_w,clock_power_total_w,power_internal_w,power_switching_w,power_leakage_w,power_total_w,vectorless_energy_per_item_pj_at_target,power_estimation,clock_tree_power_included,synthesis_problems,status,area_period_pareto,area_power_pareto,minimum_area_meeting_target,minimum_period_point,minimum_vectorless_power_point
rs_chien,RS Chien/Horner pipeline,64,1,yes,1,0,64,64,multi_operation,1,1,1000,1.0,asap7,slang,0,0,openroad/orfs@sha256:c1b25c7d0d74a5c3118843451a2803836ac776140bf29e87fb05a1f84d73aa02,22002,2858.68602,193.59324,2665.09278,6.77,-8.2033,-84.93118,coefficient_reg[1][317]$_DFFE_PP_,pipeline_accumulator[0][16]$_DFFE_PP_,coefficient_reg[1][317]$_DFFE_PP_ -> pipeline_accumulator[0][16]$_DFFE_PP_,no,9.203299999999999,108.66,-0.09852,0.00138,0.000109,1.03e-07,0.00149,0.805,0.619,2.08e-06,1.42,0.0,0.0,0.0,0.0,0.806,0.619,2.19e-06,1.43,1430.0,vectorless_post_synthesis,no,0,success,no,no,no,no,no
rs_chien,RS Chien/Horner pipeline,64,2,yes,2,0,32,32,multi_operation,2,1,1000,1.0,asap7,slang,0,0,openroad/orfs@sha256:c1b25c7d0d74a5c3118843451a2803836ac776140bf29e87fb05a1f84d73aa02,21797,2663.31402,199.80432,2463.5097,7.5,-3.73997,-74.13029,pipeline_accumulator[0][18]$_DFFE_PP_,pipeline_accumulator[0][23]$_DFFE_PP_,pipeline_accumulator[0][18]$_DFFE_PP_ -> pipeline_accumulator[0][23]$_DFFE_PP_,no,4.7399700000000005,210.97,-0.09852,0.00163,0.000116,1.06e-07,0.00174,0.83,0.588,1.87e-06,1.42,0.0,0.0,0.0,0.0,0.831,0.588,1.98e-06,1.42,1420.0,vectorless_post_synthesis,no,0,success,no,no,no,no,no
rs_chien,RS Chien/Horner pipeline,64,3,no,3,0,21,22,multi_operation,3,1,1000,1.0,asap7,slang,0,0,openroad/orfs@sha256:c1b25c7d0d74a5c3118843451a2803836ac776140bf29e87fb05a1f84d73aa02,21296,2615.88528,206.0154,2409.86988,7.88,-2.30711,-67.30391,pipeline_accumulator[2][8]$_DFFE_PP_,pipeline_accumulator[3][3]$_DFFE_PP_,pipeline_accumulator[2][8]$_DFFE_PP_ -> pipeline_accumulator[3][3]$_DFFE_PP_,no,3.30711,302.38,-0.09852,0.00185,0.000126,1.09e-07,0.00198,0.834,0.551,1.86e-06,1.38,0.0,0.0,0.0,0.0,0.835,0.551,1.97e-06,1.39,1390.0,vectorless_post_synthesis,no,0,success,no,no,no,no,no
rs_chien,RS Chien/Horner pipeline,64,4,yes,4,0,16,16,multi_operation,4,1,1000,1.0,asap7,slang,0,0,openroad/orfs@sha256:c1b25c7d0d74a5c3118843451a2803836ac776140bf29e87fb05a1f84d73aa02,21547,2592.55728,212.22648,2380.3308,8.19,-1.49324,-58.35344,pipeline_accumulator[0][36]$_DFFE_PP_,pipeline_accumulator[0][43]$_DFFE_PP_,pipeline_accumulator[0][36]$_DFFE_PP_ -> pipeline_accumulator[0][43]$_DFFE_PP_,no,2.4932399999999997,401.08,-0.09852,0.00208,0.000133,1.12e-07,0.00221,0.807,0.54,1.8e-06,1.35,0.0,0.0,0.0,0.0,0.809,0.54,1.92e-06,1.35,1350.0,vectorless_post_synthesis,no,0,success,no,no,no,no,no
rs_chien,RS Chien/Horner pipeline,64,5,no,5,0,12,13,multi_operation,5,1,1000,1.0,asap7,slang,0,0,openroad/orfs@sha256:c1b25c7d0d74a5c3118843451a2803836ac776140bf29e87fb05a1f84d73aa02,21462,2652.37902,218.43756,2433.94146,8.24,-1.05524,-49.79357,pipeline_accumulator[2][0]$_DFFE_PP_,pipeline_accumulator[3][6]$_DFFE_PP_,pipeline_accumulator[2][0]$_DFFE_PP_ -> pipeline_accumulator[3][6]$_DFFE_PP_,no,2.05524,486.56,-0.09852,0.00228,0.000153,1.15e-07,0.00244,0.794,0.529,1.89e-06,1.32,0.0,0.0,0.0,0.0,0.797,0.529,2e-06,1.33,1330.0,vectorless_post_synthesis,no,0,success,no,no,no,no,no
rs_chien,RS Chien/Horner pipeline,64,6,no,6,0,10,11,multi_operation,6,1,1000,1.0,asap7,slang,0,0,openroad/orfs@sha256:c1b25c7d0d74a5c3118843451a2803836ac776140bf29e87fb05a1f84d73aa02,20972,2561.0499,224.64864,2336.40126,8.77,-0.73534,-41.38168,pipeline_x[5][6]$_DFFE_PP_,pipeline_accumulator[6][3]$_DFFE_PP_,pipeline_x[5][6]$_DFFE_PP_ -> pipeline_accumulator[6][3]$_DFFE_PP_,no,1.7353299999999998,576.26,-0.09852,0.00251,0.000151,1.18e-07,0.00266,0.762,0.498,1.82e-06,1.26,0.0,0.0,0.0,0.0,0.765,0.498,1.93e-06,1.26,1260.0,vectorless_post_synthesis,no,0,success,no,no,no,no,no
rs_chien,RS Chien/Horner pipeline,64,7,no,7,0,9,10,multi_operation,7,1,1000,1.0,asap7,slang,0,0,openroad/orfs@sha256:c1b25c7d0d74a5c3118843451a2803836ac776140bf29e87fb05a1f84d73aa02,20901,2487.01266,230.85972,2256.15294,9.28,-0.59044,-36.77208,pipeline_accumulator[1][25]$_DFFE_PP_,pipeline_accumulator[1][33]$_DFFE_PP_,pipeline_accumulator[1][25]$_DFFE_PP_ -> pipeline_accumulator[1][33]$_DFFE_PP_,no,1.59044,628.76,-0.09852,0.00283,0.000156,1.21e-07,0.00298,0.744,0.443,1.77e-06,1.19,0.0,0.0,0.0,0.0,0.746,0.443,1.89e-06,1.19,1190.0,vectorless_post_synthesis,no,0,success,no,no,no,no,no
rs_chien,RS Chien/Horner pipeline,64,8,yes,8,0,8,8,multi_operation,8,1,1000,1.0,asap7,slang,0,0,openroad/orfs@sha256:c1b25c7d0d74a5c3118843451a2803836ac776140bf29e87fb05a1f84d73aa02,21787,2652.26238,237.0708,2415.19158,8.94,-0.31906,-23.33384,pipeline_accumulator[0][68]$_DFFE_PP_,pipeline_accumulator[0][77]$_DFFE_PP_,pipeline_accumulator[0][68]$_DFFE_PP_ -> pipeline_accumulator[0][77]$_DFFE_PP_,no,1.31906,758.12,-0.09852,0.0029,0.000169,1.24e-07,0.00307,0.715,0.48,1.85e-06,1.2,0.0,0.0,0.0,0.0,0.718,0.481,1.98e-06,1.2,1200.0,vectorless_post_synthesis,no,0,success,no,no,no,no,no
rs_chien,RS Chien/Horner pipeline,64,9,no,9,0,7,8,multi_operation,9,1,1000,1.0,asap7,slang,0,0,openroad/orfs@sha256:c1b25c7d0d74a5c3118843451a2803836ac776140bf29e87fb05a1f84d73aa02,20424,2442.04794,243.28188,2198.76606,9.96,-0.29463,-21.06491,pipeline_accumulator[8][8]$_DFFE_PP_,pipeline_accumulator[9][3]$_DFFE_PP_,pipeline_accumulator[8][8]$_DFFE_PP_ -> pipeline_accumulator[9][3]$_DFFE_PP_,no,1.2946300000000002,772.42,-0.09852,0.00329,0.000166,1.27e-07,0.00345,0.686,0.394,1.74e-06,1.08,0.0,0.0,0.0,0.0,0.689,0.395,1.87e-06,1.08,1080.0,vectorless_post_synthesis,no,0,success,yes,yes,no,no,no
rs_chien,RS Chien/Horner pipeline,64,10,no,10,0,6,7,multi_operation,10,1,1000,1.0,asap7,slang,0,0,openroad/orfs@sha256:c1b25c7d0d74a5c3118843451a2803836ac776140bf29e87fb05a1f84d73aa02,21134,2544.98274,249.49296,2295.48978,9.8,-0.19149,-11.19615,pipeline_accumulator[2][2]$_DFFE_PP_,pipeline_accumulator[3][4]$_DFFE_PP_,pipeline_accumulator[2][2]$_DFFE_PP_ -> pipeline_accumulator[3][4]$_DFFE_PP_,no,1.19149,839.28,-0.09852,0.00352,0.000175,1.3e-07,0.00369,0.682,0.414,1.81e-06,1.1,0.0,0.0,0.0,0.0,0.685,0.414,1.94e-06,1.1,1100.0,vectorless_post_synthesis,no,0,success,no,no,no,no,no
