design,design_label,workload_operations,pipeline_stages,is_power_of_two,stages_with_work,pass_through_stages,min_operations_per_stage,max_operations_per_stage,pipeline_region,latency_cycles,throughput_items_per_cycle,target_mhz,target_period_ns,platform,synthesis_frontend,synthesis_hierarchical,abc_area,orfs_image,cell_count,area_um2,sequential_area_um2,combinational_area_um2,sequential_area_percent,setup_wns_ns,setup_tns_ns,setup_worst_startpoint,setup_worst_endpoint,setup_worst_path,target_met,minimum_period_ns,fmax_mhz,hold_slack_ns,sequential_power_internal_w,sequential_power_switching_w,sequential_power_leakage_w,sequential_power_total_w,combinational_power_internal_w,combinational_power_switching_w,combinational_power_leakage_w,combinational_power_total_w,clock_power_internal_w,clock_power_switching_w,clock_power_leakage_w,clock_power_total_w,power_internal_w,power_switching_w,power_leakage_w,power_total_w,vectorless_energy_per_item_pj_at_target,power_estimation,clock_tree_power_included,synthesis_problems,status,area_period_pareto,area_power_pareto,minimum_area_meeting_target,minimum_period_point,minimum_vectorless_power_point
arx,ARX pipeline,64,1,yes,1,0,64,64,multi_operation,1,1,1000,1.0,asap7,slang,0,0,openroad/orfs@sha256:c1b25c7d0d74a5c3118843451a2803836ac776140bf29e87fb05a1f84d73aa02,19551,2260.76022,38.08296,2222.67726,1.68,-29.35738,-1855.85862,pipeline_state[0][2]$_DFFE_PP_,pipeline_state[0][95]$_DFFE_PP_,pipeline_state[0][2]$_DFFE_PP_ -> pipeline_state[0][95]$_DFFE_PP_,no,30.357380000000003,32.94,-0.10997,0.0013,2.52e-05,1.97e-08,0.00132,1.05,0.756,1.73e-06,1.81,0.0,0.0,0.0,0.0,1.05,0.756,1.75e-06,1.81,1810.0,vectorless_post_synthesis,no,0,success,no,no,no,no,no
arx,ARX pipeline,64,2,yes,2,0,32,32,multi_operation,2,1,1000,1.0,asap7,slang,0,0,openroad/orfs@sha256:c1b25c7d0d74a5c3118843451a2803836ac776140bf29e87fb05a1f84d73aa02,24082,2665.45728,57.12444,2608.33284,2.14,-12.40349,-1549.73675,pipeline_state[0][4]$_DFFE_PP_,pipeline_state[0][95]$_DFFE_PP_,pipeline_state[0][4]$_DFFE_PP_ -> pipeline_state[0][95]$_DFFE_PP_,no,13.40349,74.61,-0.10997,0.00251,6.07e-05,2.93e-08,0.00257,1.0,0.82,1.98e-06,1.82,0.0,0.0,0.0,0.0,1.0,0.82,2.01e-06,1.82,1820.0,vectorless_post_synthesis,no,0,success,no,no,no,no,no
arx,ARX pipeline,64,3,no,3,0,21,22,multi_operation,3,1,1000,1.0,asap7,slang,0,0,openroad/orfs@sha256:c1b25c7d0d74a5c3118843451a2803836ac776140bf29e87fb05a1f84d73aa02,17406,1974.3507,76.16592,1898.18478,3.86,-7.91043,-1411.02562,pipeline_state[0][7]$_DFFE_PP_,pipeline_state[1][31]$_DFFE_PP_,pipeline_state[0][7]$_DFFE_PP_ -> pipeline_state[1][31]$_DFFE_PP_,no,8.91043,112.23,-0.10997,0.00368,8.8e-05,3.88e-08,0.00377,0.87,0.63,1.46e-06,1.5,0.0,0.0,0.0,0.0,0.874,0.63,1.5e-06,1.5,1500.0,vectorless_post_synthesis,no,0,success,no,no,no,no,no
arx,ARX pipeline,64,4,yes,4,0,16,16,multi_operation,4,1,1000,1.0,asap7,slang,0,0,openroad/orfs@sha256:c1b25c7d0d74a5c3118843451a2803836ac776140bf29e87fb05a1f84d73aa02,18575,2108.60334,95.2074,2013.39594,4.52,-4.95218,-1189.86738,pipeline_state[0][203]$_DFFE_PP_,pipeline_state[0][286]$_DFFE_PP_,pipeline_state[0][203]$_DFFE_PP_ -> pipeline_state[0][286]$_DFFE_PP_,no,5.95218,168.01,-0.10997,0.00493,0.00012,4.84e-08,0.00505,0.839,0.619,1.54e-06,1.46,0.0,0.0,0.0,0.0,0.844,0.619,1.59e-06,1.46,1460.0,vectorless_post_synthesis,no,0,success,no,no,no,no,no
arx,ARX pipeline,64,5,no,5,0,12,13,multi_operation,5,1,1000,1.0,asap7,slang,0,0,openroad/orfs@sha256:c1b25c7d0d74a5c3118843451a2803836ac776140bf29e87fb05a1f84d73aa02,16077,1858.30848,114.24888,1744.0596,6.15,-3.88144,-1138.12225,pipeline_state[1][12]$_DFFE_PP_,pipeline_state[2][31]$_DFFE_PP_,pipeline_state[1][12]$_DFFE_PP_ -> pipeline_state[2][31]$_DFFE_PP_,no,4.88144,204.86,-0.10997,0.00607,0.000146,5.81e-08,0.00621,0.777,0.526,1.34e-06,1.3,0.0,0.0,0.0,0.0,0.783,0.526,1.4e-06,1.31,1310.0,vectorless_post_synthesis,no,0,success,yes,yes,no,no,no
arx,ARX pipeline,64,6,no,6,0,10,11,multi_operation,6,1,1000,1.0,asap7,slang,0,0,openroad/orfs@sha256:c1b25c7d0d74a5c3118843451a2803836ac776140bf29e87fb05a1f84d73aa02,16855,1945.39482,133.29036,1812.10446,6.85,-2.98212,-1025.77894,pipeline_state[4][11]$_DFFE_PP_,pipeline_state[5][31]$_DFFE_PP_,pipeline_state[4][11]$_DFFE_PP_ -> pipeline_state[5][31]$_DFFE_PP_,no,3.98212,251.12,-0.10997,0.00727,0.000183,6.76e-08,0.00745,0.76,0.51,1.4e-06,1.27,0.0,0.0,0.0,0.0,0.767,0.51,1.46e-06,1.28,1280.0,vectorless_post_synthesis,no,0,success,yes,yes,no,no,no
arx,ARX pipeline,64,7,no,7,0,9,10,multi_operation,7,1,1000,1.0,asap7,slang,0,0,openroad/orfs@sha256:c1b25c7d0d74a5c3118843451a2803836ac776140bf29e87fb05a1f84d73aa02,17026,1963.2699,152.33184,1810.93806,7.76,-2.55075,-936.16062,pipeline_state[1][133]$_DFFE_PP_,pipeline_state[1][222]$_DFFE_PP_,pipeline_state[1][133]$_DFFE_PP_ -> pipeline_state[1][222]$_DFFE_PP_,no,3.55075,281.63,-0.10997,0.00844,0.000213,7.72e-08,0.00865,0.727,0.486,1.39e-06,1.21,0.0,0.0,0.0,0.0,0.735,0.487,1.46e-06,1.22,1220.0,vectorless_post_synthesis,no,0,success,yes,yes,no,no,no
arx,ARX pipeline,64,8,yes,8,0,8,8,multi_operation,8,1,1000,1.0,asap7,slang,0,0,openroad/orfs@sha256:c1b25c7d0d74a5c3118843451a2803836ac776140bf29e87fb05a1f84d73aa02,18477,2108.28258,171.37332,1936.90926,8.13,-1.95127,-833.86075,pipeline_state[1][19]$_DFFE_PP_,pipeline_state[2][30]$_DFFE_PP_,pipeline_state[1][19]$_DFFE_PP_ -> pipeline_state[2][30]$_DFFE_PP_,no,2.95127,338.84,-0.10997,0.00961,0.000245,8.66e-08,0.00985,0.717,0.485,1.48e-06,1.2,0.0,0.0,0.0,0.0,0.727,0.485,1.56e-06,1.21,1210.0,vectorless_post_synthesis,no,0,success,no,no,no,no,no
arx,ARX pipeline,64,9,no,9,0,7,8,multi_operation,9,1,1000,1.0,asap7,slang,0,0,openroad/orfs@sha256:c1b25c7d0d74a5c3118843451a2803836ac776140bf29e87fb05a1f84d73aa02,18230,2093.14854,190.4148,1902.73374,9.1,-1.68376,-717.25012,pipeline_state[8][4]$_DFFE_PP_,pipeline_state[9][30]$_DFFE_PP_,pipeline_state[8][4]$_DFFE_PP_ -> pipeline_state[9][30]$_DFFE_PP_,no,2.6837600000000004,372.61,-0.10997,0.0109,0.000278,9.64e-08,0.0112,0.687,0.447,1.44e-06,1.13,0.0,0.0,0.0,0.0,0.698,0.448,1.54e-06,1.15,1150.0,vectorless_post_synthesis,no,0,success,no,no,no,no,no
arx,ARX pipeline,64,10,no,10,0,6,7,multi_operation,10,1,1000,1.0,asap7,slang,0,0,openroad/orfs@sha256:c1b25c7d0d74a5c3118843451a2803836ac776140bf29e87fb05a1f84d73aa02,17999,2092.34664,209.45628,1882.89036,10.01,-1.39119,-664.50581,pipeline_state[4][4]$_DFFE_PP_,pipeline_state[5][31]$_DFFE_PP_,pipeline_state[4][4]$_DFFE_PP_ -> pipeline_state[5][31]$_DFFE_PP_,no,2.39119,418.2,-0.10997,0.012,0.000309,1.06e-07,0.0123,0.652,0.416,1.43e-06,1.07,0.0,0.0,0.0,0.0,0.664,0.417,1.53e-06,1.08,1080.0,vectorless_post_synthesis,no,0,success,yes,yes,no,no,no
